CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 5.685667e+00 3.497344e-01
2 2.163667e+00 1.839333e-01
3 9.566667e-01 1.101353e-01
4 4.346667e-01 6.613202e-02
5 2.303333e-01 1.431006e-02
6 1.410000e-01 5.602678e-02
7 8.966667e-02 5.785134e-02
8 4.000000e-02 2.230097e-02
9 2.133333e-02 1.139200e-02
10 1.133333e-02 1.034945e-02
11 6.333333e-03 4.484541e-03
12 3.000000e-03 3.000000e-03
13 1.000000e-03 1.000000e-03
14 2.000000e-03 0.000000e+00
