CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 6.527000e+00 3.099999e-01
2 1.784000e+00 6.000000e-02
3 7.165000e-01 5.149999e-02
4 2.780000e-01 3.600001e-02
5 3.180000e-01 1.120000e-01
6 1.600000e-01 5.000003e-03
7 1.095000e-01 1.050000e-02
8 8.550000e-02 1.450000e-02
9 4.150000e-02 1.650000e-02
10 1.650000e-02 1.150000e-02
11 6.000000e-03 2.000000e-03
12 2.500000e-03 5.000000e-04
13 0.000000e+00 0.000000e+00
14 0.000000e+00 0.000000e+00
