CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 6.291250e+00 4.864393e-01
2 2.256000e+00 3.085825e-01
3 1.062250e+00 1.691505e-01
4 4.567500e-01 1.020869e-01
5 1.950000e-01 3.561133e-02
6 9.775000e-02 2.081816e-02
7 6.125000e-02 3.194363e-02
8 1.425000e-02 5.513242e-03
9 3.750000e-03 1.652019e-03
10 1.500000e-03 2.886752e-04
11 2.000000e-03 1.683251e-03
12 3.333333e-04 3.333334e-04
13 0.000000e+00 0.000000e+00
14 0.000000e+00 0.000000e+00
