CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 5.653000e+00 1.289999e-01
2 1.906000e+00 7.999998e-02
3 8.275000e-01 1.850000e-02
4 4.380000e-01 3.999999e-02
5 2.670000e-01 8.000001e-03
6 1.730000e-01 2.400000e-02
7 1.200000e-01 1.300000e-02
8 5.200000e-02 2.000000e-03
9 4.050000e-02 2.500001e-03
10 1.600000e-02 4.000000e-03
11 8.000000e-03 5.000000e-03
12 2.500000e-03 2.500000e-03
13 1.000000e-03 1.000000e-03
14 5.000000e-04 5.000000e-04
