CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 6.159000e+00 1.045000e+00
2 1.992000e+00 3.630000e-01
3 8.720000e-01 9.800002e-02
4 4.690000e-01 4.200000e-02
5 2.255000e-01 8.549999e-02
6 1.200000e-01 3.400000e-02
7 6.600000e-02 5.400000e-02
8 5.100000e-02 3.900000e-02
9 2.200000e-02 1.600000e-02
10 1.600000e-02 1.400000e-02
11 1.300000e-02 1.300000e-02
12 1.800000e-02 0.000000e+00
13 0.000000e+00 0.000000e+00
14 6.000000e-03 0.000000e+00
