CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 5.377000e+00 1.140001e-01
2 2.473000e+00 1.880000e-01
3 1.157500e+00 7.550001e-02
4 4.635000e-01 3.950001e-02
5 2.090000e-01 4.000001e-03
6 1.000000e-01 9.000000e-03
7 5.650000e-02 6.500000e-03
8 1.800000e-02 1.999999e-03
9 9.000000e-03 9.999997e-04
10 3.000000e-03 0.000000e+00
11 3.500000e-03 2.500000e-03
12 5.000000e-04 5.000000e-04
13 5.000000e-04 5.000000e-04
14 5.000000e-04 5.000000e-04
