CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.57375 0.259377
2 1.56125 0.0638455
3 0.766 0.0411096
4 0.4735 0.0162583
5 0.3045 0.0207284
6 0.20175 0.0162967
7 0.1425 0.0161761
8 0.085 0.00648074
9 0.06375 0.00873212
10 0.04275 0.00680074
11 0.0255 0.0104722
12 0.01525 0.0078475
13 0.009 0.00648074
14 0.0065 0.00369685
