CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.73525 0.0954162
2 1.5855 0.154131
3 0.814 0.0265832
4 0.47075 0.0219754
5 0.28575 0.0216391
6 0.1895 0.0190526
7 0.1305 0.0140594
8 0.08725 0.0105317
9 0.0595 0.0104722
10 0.043 0.0108934
11 0.0255 0.0058023
12 0.01725 0.00684957
13 0.0065 0.00378594
14 0.003 0.0033665
