CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 5.041 0.195961
2 1.721 0.149729
3 0.84175 0.0809871
4 0.4845 0.0313953
5 0.3415 0.0293201
6 0.1735 0.0336105
7 0.1035 0.0237557
8 0.078 0.0171464
9 0.042 0.0185831
10 0.02725 0.0126062
11 0.01175 0.0060208
12 0.009 0.00637704
13 0.00325 0.00525198
14 0.0015 0.00057735
