CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.865 0.165284
2 1.75875 0.0844369
3 0.86125 0.0308369
4 0.4675 0.0334415
5 0.28525 0.0357899
6 0.1935 0.0210792
7 0.122 0.00812404
8 0.07625 0.00869387
9 0.03975 0.00613052
10 0.02475 0.00556028
11 0.02075 0.00478714
12 0.01025 0.00170783
13 0.006 0.00216025
14 0.00375 0.00221736

