CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.681 0.312924
2 1.65589 0.131463
3 0.846333 0.101763
4 0.499111 0.0468627
5 0.293111 0.0268582
6 0.185444 0.018201
7 0.119667 0.0187949
8 0.0808889 0.0148277
9 0.0506667 0.0121244
10 0.0332222 0.0120807
11 0.0218889 0.00970109
12 0.0143333 0.00964365
13 0.00833333 0.00567891
14 0.004 0.00287228
