CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.83433 0.304587
2 1.69644 0.138831
3 0.883778 0.0904624
4 0.486222 0.038392
5 0.287889 0.0170913
6 0.187556 0.0144145
7 0.118778 0.0234616
8 0.0767778 0.0196136
9 0.0482222 0.0166416
10 0.0296667 0.0119791
11 0.0176667 0.00987421
12 0.0102222 0.00582619
13 0.00422222 0.00323179
14 0.00244444 0.00200693
