CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 5.1505 0.380765
2 1.7405 0.236418
3 0.87525 0.0843302
4 0.48525 0.0680508
5 0.3005 0.0556507
6 0.16675 0.0435766
7 0.1195 0.0335708
8 0.06375 0.0183916
9 0.04375 0.0113248
10 0.023 0.00905539
11 0.0155 0.00635085
12 0.007 0.00816497
13 0.0035 0.00264575
14 0.00125 0.00125831

