CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.76733 0.3027
2 1.70533 0.128654
3 0.836556 0.0623099
4 0.466444 0.037105
5 0.287333 0.0244336
6 0.183222 0.0168803
7 0.117444 0.0163944
8 0.0802222 0.0161228
9 0.0522222 0.0133489
10 0.0348889 0.00966236
11 0.0206667 0.00646142
12 0.014 0.00608276
13 0.00833333 0.00484768
14 0.005 0.00331662
