CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.78667 0.179015
2 1.70533 0.185748
3 0.851556 0.0756672
4 0.512556 0.050821
5 0.310333 0.0310564
6 0.188111 0.0231325
7 0.112556 0.0184059
8 0.0722222 0.0191427
9 0.0463333 0.0177694
10 0.03 0.0118216
11 0.0167778 0.00909365
12 0.0101111 0.00592546
13 0.00544444 0.00339526
14 0.00233333 0.00206155
