CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.49011 0.178331
2 1.55256 0.0854768
3 0.836111 0.0758641
4 0.486778 0.0277884
5 0.313222 0.0278827
6 0.196556 0.0153225
7 0.124 0.0156924
8 0.0886667 0.00817007
9 0.0591111 0.00786518
10 0.0374444 0.00755167
11 0.0235556 0.00716085
12 0.0154444 0.00640529
13 0.01 0.00460977
14 0.00522222 0.00315348
