CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.96875 0.155026
2 1.73225 0.0625906
3 0.878 0.0692435
4 0.476 0.0565037
5 0.28975 0.0572618
6 0.16425 0.0166808
7 0.105 0.0115758
8 0.0715 0.01843
9 0.05275 0.00713559
10 0.0255 0.00685565
11 0.01725 0.00801561
12 0.01325 0.00974252
13 0.0095 0.00793725
14 0.00425 0.00287228
