CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.561 0.219088
2 1.56289 0.13725
3 0.806889 0.0807333
4 0.494889 0.0380048
5 0.298 0.0294364
6 0.190222 0.0186533
7 0.130444 0.0199193
8 0.0905556 0.0171545
9 0.0596667 0.0119164
10 0.0391111 0.0112633
11 0.0253333 0.0107238
12 0.0168889 0.00639227
13 0.00844444 0.00415665
14 0.00466667 0.00316228
