CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.78278 0.209909
2 1.741 0.129927
3 0.863556 0.0699109
4 0.497667 0.0684434
5 0.300111 0.0325248
6 0.191111 0.0161435
7 0.115667 0.0136931
8 0.0666667 0.0127279
9 0.0462222 0.00927062
10 0.0295556 0.00806398
11 0.0162222 0.00626055
12 0.0107778 0.00622049
13 0.00611111 0.00372305
14 0.00255556 0.001424
