CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 5.097 0.230297
2 1.6855 0.102679
3 0.82725 0.099376
4 0.491 0.0890206
5 0.30875 0.0470912
6 0.1815 0.0239096
7 0.11275 0.0278852
8 0.07 0.0204613
9 0.0395 0.00732575
10 0.0305 0.0180462
11 0.01975 0.00970824
12 0.0095 0.0074162
13 0.00425 0.00377492
14 0.00275 0.00170783
