CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.74278 0.216263
2 1.72478 0.170713
3 0.866222 0.0808653
4 0.492444 0.0500078
5 0.318667 0.0326382
6 0.209333 0.0235637
7 0.124111 0.0186041
8 0.068 0.0227541
9 0.0421111 0.0157118
10 0.0264444 0.0118439
11 0.0141111 0.00623387
12 0.00688889 0.00351584
13 0.00377778 0.0017873
14 0.00188889 0.00136423
