CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.821 0.234659
2 1.622 0.184443
3 0.832 0.0945198
4 0.48725 0.0952344
5 0.292 0.026064
6 0.17625 0.0152179
7 0.12275 0.0257213
8 0.0805 0.0139881
9 0.05625 0.0354812
10 0.038 0.0121929
11 0.02225 0.0111467
12 0.014 0.00948683
13 0.00775 0.00485627
14 0.00375 0.00434933

