CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.8435 0.31646
2 1.66125 0.0991913
3 0.8145 0.0579684
4 0.47225 0.0303466
5 0.30225 0.0162147
6 0.199 0.0168721
7 0.12225 0.00865544
8 0.08175 0.0085
9 0.05075 0.00394757
10 0.03275 0.013326
11 0.019 0.0143759
12 0.01025 0.00834166
13 0.007 0.00816497
14 0.00325 0.00206155
