CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.79811 0.239323
2 1.61556 0.0728305
3 0.822778 0.0542489
4 0.474556 0.0374336
5 0.296 0.0210713
6 0.185222 0.0173117
7 0.124556 0.0177772
8 0.0883333 0.0117686
9 0.0546667 0.00926013
10 0.0351111 0.0071317
11 0.022 0.00604152
12 0.0137778 0.00666667
13 0.007 0.00406202
14 0.00333333 0.00180278
