CL-cluster-size		Occurance	stdev(occurance)
--------------------------------------------------------
1 4.75122 0.101132
2 1.71089 0.0777905
3 0.872778 0.049618
4 0.483889 0.0285589
5 0.299 0.015
6 0.185333 0.0166508
7 0.113556 0.0123603
8 0.0758889 0.0125941
9 0.0511111 0.00786518
10 0.0322222 0.00666667
11 0.0188889 0.00358624
12 0.0104444 0.0032059
13 0.00555556 0.00218581
14 0.00255556 0.00101379
